gender,race/ethnicity,lunch,test preparation course,math score,reading score,writing score,parental level of education_associate's degree,parental level of education_bachelor's degree,parental level of education_high school,parental level of education_master's degree,parental level of education_some college,parental level of education_some high school,score_category_math_Advanced,score_category_math_Elementary,score_category_math_Intermediate,score_category_math_Master,score_category_reading_Advanced,score_category_reading_Elementary,score_category_reading_Intermediate,score_category_reading_Master,score_category_writing_Advanced,score_category_writing_Elementary,score_category_writing_Intermediate,score_category_writing_Master
0,1,1,0,53.0,58.0,65.0,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False
1,1,0,1,59.0,65.0,66.0,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False
0,4,0,0,50.0,56.0,54.0,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False
1,1,1,0,65.0,54.0,57.0,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False
0,0,1,1,55.0,65.0,62.0,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False
0,2,1,0,66.0,71.0,76.0,False,False,True,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False
0,3,0,1,57.0,74.0,76.0,True,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False
1,2,1,1,82.0,84.0,82.0,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False
1,4,1,0,53.0,55.0,48.0,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False
1,4,0,1,77.0,69.0,68.0,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False
1,2,1,0,53.0,44.0,42.0,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,True,False,False
1,3,1,0,88.0,78.0,75.0,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False
0,2,0,1,71.0,84.0,87.0,False,False,False,False,False,True,False,False,True,False,True,False,False,False,True,False,False,False
0,2,0,0,33.0,41.0,43.0,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False
0,4,1,1,82.0,85.0,86.0,True,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False
1,3,1,0,52.0,55.0,49.0,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False
1,3,1,1,58.0,59.0,58.0,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False
0,2,0,0,27.0,29.0,25.875,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,True,False,False
1,4,0,1,79.0,74.0,72.0,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False
1,0,0,0,39.0,39.0,34.0,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,True,False,False
1,0,0,0,62.0,61.0,55.0,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False
0,2,1,0,69.0,80.0,71.0,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False
0,3,1,0,59.0,58.0,59.0,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,True,False
1,1,1,0,67.0,64.0,61.0,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,True,False
1,3,0,0,45.0,37.0,37.0,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,True,False,False
0,2,1,0,60.0,72.0,74.0,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False
1,1,0,0,61.0,58.0,56.0,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False
0,2,1,0,39.0,64.0,57.0,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False
0,3,0,1,58.0,63.0,73.0,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False
1,3,1,1,63.0,55.0,63.0,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False
0,0,0,0,41.0,51.0,48.0,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False
1,2,0,0,61.0,57.0,56.0,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,True,False
1,2,1,0,49.0,49.0,41.0,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,True,False,False
1,1,0,0,44.0,41.0,38.0,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False
1,4,1,0,30.0,29.0,25.875,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,True,False,False
1,0,1,1,80.0,78.0,81.0,False,True,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False
0,3,1,1,61.0,74.0,72.0,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,True,False
0,4,1,0,62.0,68.0,68.0,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,True,False
0,1,1,0,47.0,49.0,50.0,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False
1,1,0,0,49.0,45.0,45.0,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False
1,0,0,1,50.0,47.0,54.0,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False
1,4,1,0,72.0,64.0,63.0,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False
1,3,0,0,42.0,39.0,34.0,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False
0,2,1,0,73.0,80.0,82.0,False,False,False,False,True,False,False,False,True,False,True,False,False,False,True,False,False,False
0,2,0,0,76.0,83.0,88.0,False,False,False,False,True,False,True,False,False,False,True,False,False,False,True,False,False,False
0,3,1,0,71.0,71.0,74.0,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False
0,0,1,0,58.0,70.0,67.0,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False
0,3,1,0,73.0,86.0,82.0,False,False,False,False,False,True,False,False,True,False,True,False,False,False,True,False,False,False
0,2,1,0,65.0,72.0,74.0,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False
1,2,0,0,27.0,34.0,36.0,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False
1,2,1,0,71.0,79.0,71.0,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False
1,2,0,1,43.0,45.0,50.0,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False
0,1,1,0,79.0,86.0,92.0,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,True
1,2,0,1,78.0,81.0,82.0,True,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False
1,1,1,1,65.0,66.0,62.0,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,True,False
0,4,1,1,63.0,72.0,70.0,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False
0,3,0,0,58.0,67.0,62.0,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False
0,3,1,0,65.0,67.0,62.0,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False
1,1,1,0,79.0,67.0,67.0,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,True,False
1,3,1,1,68.0,74.0,74.0,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False
0,3,1,0,85.0,91.0,89.0,True,False,False,False,False,False,True,False,False,False,False,False,False,True,True,False,False,False
1,1,1,1,60.0,44.0,47.0,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False
1,2,1,1,98.0,86.0,90.0,False,False,False,False,True,False,False,False,False,True,True,False,False,False,True,False,False,False
0,2,1,0,58.0,67.0,72.0,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False
0,3,1,0,87.0,100.0,100.0,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,True
1,4,1,1,66.0,63.0,64.0,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False
0,1,0,0,52.0,76.0,70.0,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False
0,1,1,0,70.0,64.0,72.0,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,True,False
0,3,0,1,77.0,89.0,98.0,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True
1,2,1,0,62.0,55.0,49.0,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False
1,0,1,0,54.0,53.0,47.0,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False
0,3,1,0,51.0,58.0,54.0,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False
0,4,1,1,99.0,100.0,100.0,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True
1,2,1,0,84.0,77.0,74.0,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False
0,1,0,0,75.0,85.0,82.0,False,True,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False
0,3,1,0,78.0,82.0,79.0,False,True,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False
0,3,1,0,51.0,63.0,61.0,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,True,False
0,2,1,0,55.0,69.0,65.0,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False
0,2,1,1,79.0,92.0,89.0,False,True,False,False,False,False,True,False,False,False,False,False,False,True,True,False,False,False
1,1,1,1,91.0,89.0,92.0,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,True
0,2,1,1,88.0,93.0,93.0,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,True
1,3,0,0,63.0,57.0,56.0,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False
1,4,1,0,83.0,80.0,73.0,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,True,False
0,1,1,0,87.0,95.0,86.0,False,False,True,False,False,False,True,False,False,False,False,False,False,True,True,False,False,False
1,1,1,0,72.0,68.0,67.0,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,True,False
1,3,1,1,65.0,77.0,74.0,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,True,False
1,3,1,0,82.0,82.0,74.0,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,True,False
0,0,1,0,51.0,49.0,51.0,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False
1,3,1,0,89.0,84.0,82.0,False,False,False,True,False,False,True,False,False,False,True,False,False,False,True,False,False,False
1,2,0,1,53.0,37.0,40.0,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False
1,4,0,1,87.0,74.0,70.0,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,True,False
0,2,1,1,75.0,81.0,84.0,False,False,False,False,True,False,False,False,True,False,True,False,False,False,True,False,False,False
1,3,0,1,74.0,79.0,75.0,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False
1,2,1,0,58.0,55.0,48.0,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False
1,1,1,1,51.0,54.0,41.0,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,True,False,False
1,4,1,0,70.0,55.0,56.0,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False
0,2,1,0,59.0,66.0,67.0,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False
1,3,1,1,71.0,61.0,69.0,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False
0,3,1,0,76.0,72.0,71.0,False,False,False,False,False,True,True,False,False,False,False,False,True,False,False,False,True,False
0,2,0,0,59.0,62.0,64.0,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False
0,4,0,1,42.0,55.0,54.0,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,True,False
1,0,1,0,57.0,43.0,47.0,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False
1,3,1,0,88.0,73.0,78.0,False,False,False,False,True,False,True,False,False,False,False,False,True,False,True,False,False,False
0,2,0,0,27.0,39.0,33.0,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,True,False,False
1,1,1,0,88.0,84.0,75.0,False,False,False,False,False,True,True,False,False,False,True,False,False,False,False,False,True,False
1,2,0,0,73.0,68.0,66.0,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False
0,3,1,1,68.0,75.0,81.0,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False
1,4,0,1,100.0,100.0,93.0,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True
1,0,1,1,62.0,67.0,69.0,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,True,False
1,0,1,0,77.0,67.0,68.0,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False
0,1,1,1,59.0,70.0,66.0,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False
1,3,1,0,54.0,49.0,47.0,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False
1,3,1,0,62.0,67.0,61.0,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,True,False
0,2,1,1,70.0,89.0,88.0,False,False,False,False,True,False,False,False,True,False,True,False,False,False,True,False,False,False
0,4,0,1,66.0,74.0,78.0,False,False,True,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False
1,1,0,0,60.0,60.0,60.0,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False
0,1,1,1,61.0,86.0,87.0,True,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False
1,3,0,0,66.0,62.0,64.0,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False
1,1,0,1,82.0,78.0,74.0,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False
0,4,0,1,75.0,88.0,85.0,False,False,False,False,True,False,False,False,True,False,True,False,False,False,True,False,False,False
1,1,0,0,49.0,53.0,52.0,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,True,False
1,2,1,0,52.0,53.0,49.0,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False
0,4,1,0,81.0,92.0,91.0,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,True
0,2,1,1,96.0,100.0,100.0,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True
1,2,0,1,53.0,51.0,51.0,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False
0,1,0,1,58.0,76.0,78.0,False,False,False,True,False,False,False,False,True,False,True,False,False,False,True,False,False,False
0,1,1,1,68.0,83.0,78.0,False,False,True,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False
0,2,0,1,67.0,75.0,70.0,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False
1,0,1,1,72.0,73.0,74.0,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False
1,4,1,0,94.0,88.0,78.0,False,False,False,False,False,True,False,False,False,True,True,False,False,False,True,False,False,False
0,3,1,0,79.0,86.0,81.0,False,False,False,False,True,False,True,False,False,False,True,False,False,False,True,False,False,False
0,2,1,0,63.0,67.0,70.0,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False
0,2,0,1,43.0,51.0,54.0,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False
0,2,1,1,81.0,91.0,87.0,False,False,False,True,False,False,True,False,False,False,False,False,False,True,True,False,False,False
0,1,0,1,46.0,54.0,58.0,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False
0,2,1,1,71.0,77.0,77.0,True,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False
0,1,0,1,52.0,70.0,62.0,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,True,False
0,3,1,1,97.0,100.0,100.0,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True
1,2,0,1,62.0,68.0,75.0,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,True,False
0,2,0,0,46.0,64.0,66.0,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False
0,4,1,0,50.0,50.0,47.0,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False
0,3,1,0,65.0,69.0,70.0,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False
1,2,0,1,45.0,52.0,49.0,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,True,False
1,2,0,1,65.0,67.0,65.0,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False
1,4,1,0,80.0,76.0,65.0,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False
1,3,1,1,62.0,66.0,68.0,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,True,False
1,1,0,0,48.0,52.0,45.0,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,True,False,False
0,2,1,0,77.0,88.0,87.0,False,True,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False
0,4,1,0,66.0,65.0,69.0,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False
1,3,1,1,76.0,83.0,79.0,False,False,False,False,True,False,True,False,False,False,True,False,False,False,True,False,False,False
0,1,1,0,62.0,64.0,66.0,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,True,False
1,3,1,1,77.0,62.0,62.0,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,True,False
0,2,1,1,69.0,84.0,85.0,False,False,False,True,False,False,False,False,True,False,True,False,False,False,True,False,False,False
1,3,1,0,61.0,55.0,52.0,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False
1,2,0,1,59.0,69.0,65.0,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,True,False
1,4,0,0,55.0,56.0,51.0,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False
0,1,0,0,45.0,53.0,55.0,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,True,False
0,1,0,0,78.0,79.0,76.0,False,True,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False
0,2,1,1,67.0,84.0,86.0,True,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False
0,3,0,0,65.0,81.0,77.0,False,False,False,False,True,False,False,False,True,False,True,False,False,False,True,False,False,False
1,2,1,0,69.0,77.0,69.0,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False
0,1,1,0,57.0,69.0,68.0,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False
1,2,1,0,59.0,41.0,42.0,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,True,False,False
1,3,1,1,74.0,71.0,78.0,False,False,False,False,False,True,False,False,True,False,False,False,True,False,True,False,False,False
1,4,1,0,82.0,62.0,62.0,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False
1,4,1,1,81.0,80.0,76.0,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False
0,1,0,0,74.0,81.0,76.0,False,False,False,False,True,False,False,False,True,False,True,False,False,False,True,False,False,False
0,1,0,0,58.0,61.0,66.0,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False
1,3,0,1,80.0,79.0,79.0,False,False,False,False,False,True,True,False,False,False,True,False,False,False,True,False,False,False
1,2,0,0,35.0,29.0,27.0,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,True,False,False
0,2,0,0,42.0,62.0,60.0,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False
1,2,0,1,60.0,51.0,56.0,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False
1,4,1,1,87.0,91.0,81.0,False,False,True,False,False,False,True,False,False,False,False,False,False,True,True,False,False,False
1,1,1,1,84.0,83.0,75.0,False,False,False,False,False,True,True,False,False,False,True,False,False,False,False,False,True,False
0,4,0,1,83.0,86.0,88.0,True,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False
0,2,0,0,34.0,42.0,39.0,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False
1,1,0,0,66.0,77.0,70.0,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False
1,1,1,1,61.0,56.0,56.0,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,True,False
0,3,1,1,56.0,68.0,74.0,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False
1,1,1,0,87.0,85.0,73.0,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False
0,2,0,0,55.0,65.0,62.0,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,True,False
1,3,1,0,86.0,80.0,75.0,False,False,False,False,False,True,True,False,False,False,True,False,False,False,False,False,True,False
0,1,1,1,52.0,66.0,73.0,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False
0,4,0,0,45.0,56.0,54.0,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False
0,2,1,0,72.0,72.0,71.0,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False
1,3,1,0,57.0,50.0,54.0,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False
1,0,0,0,68.0,72.0,64.0,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,True,False
0,2,1,1,88.0,95.0,94.0,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,True
1,3,1,0,76.0,64.0,66.0,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,True,False
1,2,1,0,46.0,43.0,42.0,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False
0,1,1,0,67.0,86.0,83.0,False,True,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False
1,4,1,0,92.0,87.0,78.0,False,False,False,False,False,True,False,False,False,True,True,False,False,False,True,False,False,False
1,2,1,1,83.0,82.0,84.0,False,True,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False
1,3,1,0,80.0,75.0,77.0,True,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False
1,3,0,0,63.0,66.0,67.0,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False
0,3,1,1,64.0,60.0,74.0,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,True,False
1,1,1,0,54.0,52.0,51.0,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False
1,2,1,0,84.0,80.0,80.0,True,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False
1,3,0,1,73.0,68.0,66.0,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False
