,gender,race/ethnicity,parental level of education,lunch,test preparation course,math score,reading score,writing score,score_category_math,score_category_reading,score_category_writing
104,male,group C,some college,standard,completed,98.0,86.0,90.0,Master,Advanced,Advanced
105,female,group C,some college,standard,none,58.0,67.0,72.0,Intermediate,Intermediate,Intermediate
106,female,group D,master's degree,standard,none,87.0,100.0,100.0,Advanced,Master,Master
107,male,group E,associate's degree,standard,completed,66.0,63.0,64.0,Intermediate,Intermediate,Intermediate
108,female,group B,associate's degree,free/reduced,none,52.0,76.0,70.0,Intermediate,Advanced,Intermediate
109,female,group B,some high school,standard,none,70.0,64.0,72.0,Intermediate,Intermediate,Intermediate
110,female,group D,associate's degree,free/reduced,completed,77.0,89.0,98.0,Advanced,Advanced,Master
111,male,group C,high school,standard,none,62.0,55.0,49.0,Intermediate,Intermediate,Intermediate
112,male,group A,associate's degree,standard,none,54.0,53.0,47.0,Intermediate,Intermediate,Intermediate
113,female,group D,some college,standard,none,51.0,58.0,54.0,Intermediate,Intermediate,Intermediate
114,female,group E,bachelor's degree,standard,completed,99.0,100.0,100.0,Master,Master,Master
115,male,group C,high school,standard,none,84.0,77.0,74.0,Advanced,Advanced,Intermediate
116,female,group B,bachelor's degree,free/reduced,none,75.0,85.0,82.0,Intermediate,Advanced,Advanced
117,female,group D,bachelor's degree,standard,none,78.0,82.0,79.0,Advanced,Advanced,Advanced
118,female,group D,some high school,standard,none,51.0,63.0,61.0,Intermediate,Intermediate,Intermediate
119,female,group C,some college,standard,none,55.0,69.0,65.0,Intermediate,Intermediate,Intermediate
120,female,group C,bachelor's degree,standard,completed,79.0,92.0,89.0,Advanced,Master,Advanced
121,male,group B,associate's degree,standard,completed,91.0,89.0,92.0,Master,Advanced,Master
122,female,group C,some college,standard,completed,88.0,93.0,93.0,Advanced,Master,Master
123,male,group D,high school,free/reduced,none,63.0,57.0,56.0,Intermediate,Intermediate,Intermediate
124,male,group E,some college,standard,none,83.0,80.0,73.0,Advanced,Advanced,Intermediate
125,female,group B,high school,standard,none,87.0,95.0,86.0,Advanced,Master,Advanced
126,male,group B,some high school,standard,none,72.0,68.0,67.0,Intermediate,Intermediate,Intermediate
127,male,group D,some college,standard,completed,65.0,77.0,74.0,Intermediate,Advanced,Intermediate
128,male,group D,master's degree,standard,none,82.0,82.0,74.0,Advanced,Advanced,Intermediate
129,female,group A,bachelor's degree,standard,none,51.0,49.0,51.0,Intermediate,Intermediate,Intermediate
130,male,group D,master's degree,standard,none,89.0,84.0,82.0,Advanced,Advanced,Advanced
131,male,group C,some high school,free/reduced,completed,53.0,37.0,40.0,Intermediate,Elementary,Elementary
132,male,group E,some college,free/reduced,completed,87.0,74.0,70.0,Advanced,Intermediate,Intermediate
133,female,group C,some college,standard,completed,75.0,81.0,84.0,Intermediate,Advanced,Advanced
134,male,group D,bachelor's degree,free/reduced,completed,74.0,79.0,75.0,Intermediate,Advanced,Intermediate
135,male,group C,bachelor's degree,standard,none,58.0,55.0,48.0,Intermediate,Intermediate,Intermediate
136,male,group B,some high school,standard,completed,51.0,54.0,41.0,Intermediate,Intermediate,Elementary
137,male,group E,high school,standard,none,70.0,55.0,56.0,Intermediate,Intermediate,Intermediate
138,female,group C,associate's degree,standard,none,59.0,66.0,67.0,Intermediate,Intermediate,Intermediate
139,male,group D,some college,standard,completed,71.0,61.0,69.0,Intermediate,Intermediate,Intermediate
140,female,group D,some high school,standard,none,76.0,72.0,71.0,Advanced,Intermediate,Intermediate
141,female,group C,some college,free/reduced,none,59.0,62.0,64.0,Intermediate,Intermediate,Intermediate
142,female,group E,some college,free/reduced,completed,42.0,55.0,54.0,Elementary,Intermediate,Intermediate
143,male,group A,high school,standard,none,57.0,43.0,47.0,Intermediate,Elementary,Intermediate
144,male,group D,some college,standard,none,88.0,73.0,78.0,Advanced,Intermediate,Advanced
145,female,group C,some college,free/reduced,none,27.0,39.0,33.0,Elementary,Elementary,Elementary
146,male,group B,some high school,standard,none,88.0,84.0,75.0,Advanced,Advanced,Intermediate
147,male,group C,associate's degree,free/reduced,none,73.0,68.0,66.0,Intermediate,Intermediate,Intermediate
148,female,group D,bachelor's degree,standard,completed,68.0,75.0,81.0,Intermediate,Intermediate,Advanced
149,male,group E,associate's degree,free/reduced,completed,100.0,100.0,93.0,Master,Master,Master
150,male,group A,some high school,standard,completed,62.0,67.0,69.0,Intermediate,Intermediate,Intermediate
151,male,group A,bachelor's degree,standard,none,77.0,67.0,68.0,Advanced,Intermediate,Intermediate
152,female,group B,associate's degree,standard,completed,59.0,70.0,66.0,Intermediate,Intermediate,Intermediate
153,male,group D,bachelor's degree,standard,none,54.0,49.0,47.0,Intermediate,Intermediate,Intermediate
154,male,group D,some high school,standard,none,62.0,67.0,61.0,Intermediate,Intermediate,Intermediate
155,female,group C,some college,standard,completed,70.0,89.0,88.0,Intermediate,Advanced,Advanced
156,female,group E,high school,free/reduced,completed,66.0,74.0,78.0,Intermediate,Intermediate,Advanced
157,male,group B,some college,free/reduced,none,60.0,60.0,60.0,Intermediate,Intermediate,Intermediate
158,female,group B,associate's degree,standard,completed,61.0,86.0,87.0,Intermediate,Advanced,Advanced
159,male,group D,associate's degree,free/reduced,none,66.0,62.0,64.0,Intermediate,Intermediate,Intermediate
160,male,group B,associate's degree,free/reduced,completed,82.0,78.0,74.0,Advanced,Advanced,Intermediate
161,female,group E,some college,free/reduced,completed,75.0,88.0,85.0,Intermediate,Advanced,Advanced
162,male,group B,master's degree,free/reduced,none,49.0,53.0,52.0,Intermediate,Intermediate,Intermediate
163,male,group C,high school,standard,none,52.0,53.0,49.0,Intermediate,Intermediate,Intermediate
164,female,group E,master's degree,standard,none,81.0,92.0,91.0,Advanced,Master,Master
165,female,group C,bachelor's degree,standard,completed,96.0,100.0,100.0,Master,Master,Master
166,male,group C,high school,free/reduced,completed,53.0,51.0,51.0,Intermediate,Intermediate,Intermediate
167,female,group B,master's degree,free/reduced,completed,58.0,76.0,78.0,Intermediate,Advanced,Advanced
168,female,group B,high school,standard,completed,68.0,83.0,78.0,Intermediate,Advanced,Advanced
169,female,group C,some college,free/reduced,completed,67.0,75.0,70.0,Intermediate,Intermediate,Intermediate
170,male,group A,high school,standard,completed,72.0,73.0,74.0,Intermediate,Intermediate,Intermediate
171,male,group E,some high school,standard,none,94.0,88.0,78.0,Master,Advanced,Advanced
172,female,group D,some college,standard,none,79.0,86.0,81.0,Advanced,Advanced,Advanced
173,female,group C,associate's degree,standard,none,63.0,67.0,70.0,Intermediate,Intermediate,Intermediate
174,female,group C,bachelor's degree,free/reduced,completed,43.0,51.0,54.0,Elementary,Intermediate,Intermediate
175,female,group C,master's degree,standard,completed,81.0,91.0,87.0,Advanced,Master,Advanced
176,female,group B,high school,free/reduced,completed,46.0,54.0,58.0,Intermediate,Intermediate,Intermediate
177,female,group C,associate's degree,standard,completed,71.0,77.0,77.0,Intermediate,Advanced,Advanced
178,female,group B,master's degree,free/reduced,completed,52.0,70.0,62.0,Intermediate,Intermediate,Intermediate
179,female,group D,some high school,standard,completed,97.0,100.0,100.0,Master,Master,Master
180,male,group C,master's degree,free/reduced,completed,62.0,68.0,75.0,Intermediate,Intermediate,Intermediate
181,female,group C,some college,free/reduced,none,46.0,64.0,66.0,Intermediate,Intermediate,Intermediate
182,female,group E,high school,standard,none,50.0,50.0,47.0,Intermediate,Intermediate,Intermediate
183,female,group D,associate's degree,standard,none,65.0,69.0,70.0,Intermediate,Intermediate,Intermediate
184,male,group C,some high school,free/reduced,completed,45.0,52.0,49.0,Elementary,Intermediate,Intermediate
185,male,group C,associate's degree,free/reduced,completed,65.0,67.0,65.0,Intermediate,Intermediate,Intermediate
186,male,group E,high school,standard,none,80.0,76.0,65.0,Advanced,Advanced,Intermediate
187,male,group D,some high school,standard,completed,62.0,66.0,68.0,Intermediate,Intermediate,Intermediate
188,male,group B,some high school,free/reduced,none,48.0,52.0,45.0,Intermediate,Intermediate,Elementary
189,female,group C,bachelor's degree,standard,none,77.0,88.0,87.0,Advanced,Advanced,Advanced
190,female,group E,associate's degree,standard,none,66.0,65.0,69.0,Intermediate,Intermediate,Intermediate
191,male,group D,some college,standard,completed,76.0,83.0,79.0,Advanced,Advanced,Advanced
192,female,group B,some high school,standard,none,62.0,64.0,66.0,Intermediate,Intermediate,Intermediate
193,male,group D,some college,standard,completed,77.0,62.0,62.0,Advanced,Intermediate,Intermediate
194,female,group C,master's degree,standard,completed,69.0,84.0,85.0,Intermediate,Advanced,Advanced
195,male,group D,associate's degree,standard,none,61.0,55.0,52.0,Intermediate,Intermediate,Intermediate
196,male,group C,some high school,free/reduced,completed,59.0,69.0,65.0,Intermediate,Intermediate,Intermediate
197,male,group E,high school,free/reduced,none,55.0,56.0,51.0,Intermediate,Intermediate,Intermediate
198,female,group B,some college,free/reduced,none,45.0,53.0,55.0,Elementary,Intermediate,Intermediate
199,female,group B,bachelor's degree,free/reduced,none,78.0,79.0,76.0,Advanced,Advanced,Advanced
200,female,group C,associate's degree,standard,completed,67.0,84.0,86.0,Intermediate,Advanced,Advanced
201,female,group D,some college,free/reduced,none,65.0,81.0,77.0,Intermediate,Advanced,Advanced
202,male,group C,associate's degree,standard,none,69.0,77.0,69.0,Intermediate,Advanced,Intermediate
203,female,group B,associate's degree,standard,none,57.0,69.0,68.0,Intermediate,Intermediate,Intermediate
204,male,group C,some college,standard,none,59.0,41.0,42.0,Intermediate,Elementary,Elementary
205,male,group D,some high school,standard,completed,74.0,71.0,78.0,Intermediate,Intermediate,Advanced
206,male,group E,bachelor's degree,standard,none,82.0,62.0,62.0,Advanced,Intermediate,Intermediate
207,male,group E,high school,standard,completed,81.0,80.0,76.0,Advanced,Advanced,Advanced
208,female,group B,some college,free/reduced,none,74.0,81.0,76.0,Intermediate,Advanced,Advanced
209,female,group B,some college,free/reduced,none,58.0,61.0,66.0,Intermediate,Intermediate,Intermediate
210,male,group D,some high school,free/reduced,completed,80.0,79.0,79.0,Advanced,Advanced,Advanced
211,male,group C,some college,free/reduced,none,35.0,29.0,27.0,Elementary,Elementary,Elementary
212,female,group C,high school,free/reduced,none,42.0,62.0,60.0,Elementary,Intermediate,Intermediate
213,male,group C,associate's degree,free/reduced,completed,60.0,51.0,56.0,Intermediate,Intermediate,Intermediate
214,male,group E,high school,standard,completed,87.0,91.0,81.0,Advanced,Master,Advanced
215,male,group B,some high school,standard,completed,84.0,83.0,75.0,Advanced,Advanced,Intermediate
216,female,group E,associate's degree,free/reduced,completed,83.0,86.0,88.0,Advanced,Advanced,Advanced
217,female,group C,high school,free/reduced,none,34.0,42.0,39.0,Elementary,Elementary,Elementary
218,male,group B,high school,free/reduced,none,66.0,77.0,70.0,Intermediate,Advanced,Intermediate
219,male,group B,some high school,standard,completed,61.0,56.0,56.0,Intermediate,Intermediate,Intermediate
220,female,group D,high school,standard,completed,56.0,68.0,74.0,Intermediate,Intermediate,Intermediate
221,male,group B,associate's degree,standard,none,87.0,85.0,73.0,Advanced,Advanced,Intermediate
222,female,group C,some high school,free/reduced,none,55.0,65.0,62.0,Intermediate,Intermediate,Intermediate
223,male,group D,some high school,standard,none,86.0,80.0,75.0,Advanced,Advanced,Intermediate
224,female,group B,associate's degree,standard,completed,52.0,66.0,73.0,Intermediate,Intermediate,Intermediate
225,female,group E,master's degree,free/reduced,none,45.0,56.0,54.0,Elementary,Intermediate,Intermediate
226,female,group C,some college,standard,none,72.0,72.0,71.0,Intermediate,Intermediate,Intermediate
227,male,group D,high school,standard,none,57.0,50.0,54.0,Intermediate,Intermediate,Intermediate
228,male,group A,some high school,free/reduced,none,68.0,72.0,64.0,Intermediate,Intermediate,Intermediate
229,female,group C,some college,standard,completed,88.0,95.0,94.0,Advanced,Master,Master
230,male,group D,some college,standard,none,76.0,64.0,66.0,Advanced,Intermediate,Intermediate
231,male,group C,associate's degree,standard,none,46.0,43.0,42.0,Intermediate,Elementary,Elementary
232,female,group B,bachelor's degree,standard,none,67.0,86.0,83.0,Intermediate,Advanced,Advanced
233,male,group E,some high school,standard,none,92.0,87.0,78.0,Master,Advanced,Advanced
234,male,group C,bachelor's degree,standard,completed,83.0,82.0,84.0,Advanced,Advanced,Advanced
235,male,group D,associate's degree,standard,none,80.0,75.0,77.0,Advanced,Intermediate,Advanced
236,male,group D,bachelor's degree,free/reduced,none,63.0,66.0,67.0,Intermediate,Intermediate,Intermediate
237,female,group D,some high school,standard,completed,64.0,60.0,74.0,Intermediate,Intermediate,Intermediate
238,male,group B,some college,standard,none,54.0,52.0,51.0,Intermediate,Intermediate,Intermediate
239,male,group C,associate's degree,standard,none,84.0,80.0,80.0,Advanced,Advanced,Advanced
240,male,group D,high school,free/reduced,completed,73.0,68.0,66.0,Intermediate,Intermediate,Intermediate
241,female,group E,bachelor's degree,standard,none,80.0,83.0,83.0,Advanced,Advanced,Advanced
242,female,group D,high school,standard,none,56.0,52.0,55.0,Intermediate,Intermediate,Intermediate
243,male,group E,some college,standard,none,59.0,51.0,43.0,Intermediate,Intermediate,Elementary
244,male,group D,some high school,standard,none,75.0,74.0,69.0,Intermediate,Intermediate,Intermediate
245,male,group C,associate's degree,standard,none,85.0,76.0,71.0,Advanced,Advanced,Intermediate
246,male,group E,associate's degree,standard,none,89.0,76.0,74.0,Advanced,Advanced,Intermediate
247,female,group B,high school,standard,completed,58.0,70.0,68.0,Intermediate,Intermediate,Intermediate
248,female,group B,high school,standard,none,65.0,64.0,62.0,Intermediate,Intermediate,Intermediate
249,male,group C,high school,standard,none,68.0,60.0,53.0,Intermediate,Intermediate,Intermediate
250,male,group A,some high school,standard,completed,47.0,49.0,49.0,Intermediate,Intermediate,Intermediate
251,female,group D,some college,free/reduced,none,71.0,83.0,83.0,Intermediate,Advanced,Advanced
252,female,group B,some high school,standard,completed,60.0,70.0,70.0,Intermediate,Intermediate,Intermediate
253,male,group D,master's degree,standard,none,80.0,80.0,72.0,Advanced,Advanced,Intermediate
254,male,group D,high school,standard,none,54.0,52.0,52.0,Intermediate,Intermediate,Intermediate
255,female,group E,some college,standard,none,62.0,73.0,70.0,Intermediate,Intermediate,Intermediate
256,female,group C,associate's degree,free/reduced,none,64.0,73.0,68.0,Intermediate,Intermediate,Intermediate
257,male,group C,associate's degree,standard,completed,78.0,77.0,77.0,Advanced,Advanced,Advanced
258,female,group B,some college,standard,none,70.0,75.0,78.0,Intermediate,Intermediate,Advanced
259,female,group C,master's degree,free/reduced,completed,65.0,81.0,81.0,Intermediate,Advanced,Advanced
260,female,group C,some high school,free/reduced,completed,64.0,79.0,77.0,Intermediate,Advanced,Advanced
261,male,group C,some college,standard,completed,79.0,79.0,78.0,Advanced,Advanced,Advanced
262,female,group C,some high school,free/reduced,none,44.0,50.0,51.0,Elementary,Intermediate,Intermediate
263,female,group E,high school,standard,none,99.0,93.0,90.0,Master,Master,Advanced
264,male,group D,high school,standard,none,76.0,73.0,68.0,Advanced,Intermediate,Intermediate
265,male,group D,some high school,free/reduced,none,59.0,42.0,41.0,Intermediate,Elementary,Elementary
266,female,group C,bachelor's degree,standard,none,63.0,75.0,81.0,Intermediate,Intermediate,Advanced
267,female,group D,high school,standard,none,69.0,72.0,77.0,Intermediate,Intermediate,Advanced
268,female,group D,associate's degree,standard,completed,88.0,92.0,95.0,Advanced,Master,Master
269,female,group E,some college,free/reduced,none,71.0,76.0,70.0,Intermediate,Advanced,Intermediate
270,male,group C,bachelor's degree,standard,none,69.0,63.0,61.0,Intermediate,Intermediate,Intermediate
271,male,group C,some college,standard,none,58.0,49.0,42.0,Intermediate,Intermediate,Elementary
272,female,group D,associate's degree,free/reduced,none,47.0,53.0,58.0,Intermediate,Intermediate,Intermediate
273,female,group D,some college,standard,none,65.0,70.0,71.0,Intermediate,Intermediate,Intermediate
274,male,group B,some college,standard,completed,88.0,85.0,76.0,Advanced,Advanced,Advanced
275,male,group C,bachelor's degree,standard,none,83.0,78.0,73.0,Advanced,Advanced,Intermediate
276,female,group C,some high school,standard,completed,85.0,92.0,93.0,Advanced,Master,Master
277,female,group E,high school,standard,completed,59.0,63.0,75.0,Intermediate,Intermediate,Intermediate
278,female,group C,some high school,free/reduced,none,65.0,86.0,80.0,Intermediate,Advanced,Advanced
279,male,group B,bachelor's degree,free/reduced,none,73.0,56.0,57.0,Intermediate,Intermediate,Intermediate
280,male,group D,high school,standard,none,53.0,52.0,42.0,Intermediate,Intermediate,Elementary
281,male,group D,high school,standard,none,45.0,48.0,46.0,Elementary,Intermediate,Intermediate
282,female,group D,bachelor's degree,free/reduced,none,73.0,79.0,84.0,Intermediate,Advanced,Advanced
283,female,group D,some college,free/reduced,completed,70.0,78.0,78.0,Intermediate,Advanced,Advanced
284,female,group B,some high school,standard,none,37.0,46.0,46.0,Elementary,Intermediate,Intermediate
285,male,group B,associate's degree,standard,completed,81.0,82.0,82.0,Advanced,Advanced,Advanced
286,male,group E,associate's degree,standard,completed,97.0,82.0,88.0,Master,Advanced,Advanced
287,female,group B,some high school,standard,none,67.0,89.0,82.0,Intermediate,Advanced,Advanced
288,male,group B,bachelor's degree,free/reduced,none,88.0,75.0,76.0,Advanced,Intermediate,Advanced
289,male,group E,some high school,standard,completed,77.0,76.0,77.0,Advanced,Advanced,Advanced
290,male,group C,associate's degree,standard,none,76.0,70.0,68.0,Advanced,Intermediate,Intermediate
291,male,group D,some high school,standard,none,86.0,73.0,70.0,Advanced,Intermediate,Intermediate
292,male,group C,some high school,standard,completed,63.0,60.0,57.0,Intermediate,Intermediate,Intermediate
293,female,group E,bachelor's degree,standard,none,65.0,73.0,75.0,Intermediate,Intermediate,Intermediate
294,male,group D,high school,free/reduced,completed,78.0,77.0,80.0,Advanced,Advanced,Advanced
295,male,group B,associate's degree,free/reduced,none,67.0,62.0,60.0,Intermediate,Intermediate,Intermediate
296,male,group A,some high school,standard,completed,46.0,41.0,43.0,Intermediate,Elementary,Elementary
297,male,group E,associate's degree,standard,completed,71.0,74.0,68.0,Intermediate,Intermediate,Intermediate
